Shot,Easting (m),Northing (m),Elevation (m),Code
1,559584.449,4895945.449,447.462,INST1
2,559540.177,4896019.212,488.427,BOLTR_X0
3,559589.451,4895939.115,445.445,PAD8
4,559589.808,4895943.12,445.562,PAD7
5,559585.551,4895940.681,445.618,PAD6
6,559586.782,4895948.291,445.837,PAD5
7,559582.49,4895945.829,445.867,PAD4
8,559583.748,4895953.489,446.145,PAD3
9,559578.56,4895950.493,446.085,PAD2
10,559575.28,4895957.828,446.467,PAD1
11,559577.045,4895961.781,447.177,C8_X82L
12,559576.237,4895961.278,446.651,CAP_X82
13,559575.38,4895960.869,447.187,C7_X82R
14,559566.542,4895975.646,455.362,C6_X62R
15,559567.501,4895975.917,454.842,CAPHEX_X62
16,559568.599,4895975.976,454.829,C5_X62L
17,559565.344,4895981.41,458.62,C_X55L
18,559564.207,4895981.431,458.662,CAP_X55
19,559563.182,4895981.284,459.265,C_X55R
20,559553.709,4896000.945,472.289,C3_X32L
21,559552.589,4896000.952,472.296,CAP_X32
22,559551.606,4896000.699,472.838,C4_X32R
23,559544.039,4896017.124,483.588,C1_X6L
24,559541.947,4896016.844,484.139,C2_X6R
25,559542.429,4896017.72,484.072,METALX_X5
26,559555.776,4895988.863,465.054,REBAR_B1
27,559555.692,4895984.789,463.212,E02
28,559562.633,4895972.936,455.47,E01
29,559575.287,4895957.834,446.466,PAD1
100,559579.405,4895963.088,448.383,INST2
101,559589.457,4895939.116,445.444,PAD8_CHK
102,559579.663,4895960.342,446.458,PAD0
103,559594.578,4896000.126,449.529,REBAR_C
104,559602.987,4895905.38,443.942,PRISM_R
105,559614.236,4895917.125,444.016,PRISM_L
106,559539.089,4896022.056,493.567,SUPR_STR_R
107,559540.413,4896022.916,493.586,SUPR_STR_L
108,559539.89,4896022.559,493.587,SUPR_STR_C
109,559575.292,4895957.839,446.473,PAD1
110,559578.565,4895950.464,446.085,PAD2
111,559578.566,4895950.465,446.085,PAD2
207,559579.667,4895960.353,446.466,PAD0
208,559575.285,4895957.841,446.471,PAD1
209,559578.564,4895950.503,446.09,PAD9
210,559580.125,4896004.069,456.758,C11
211,559578.522,4896006.95,457.569,C04
212,559602.32,4896002.725,450.682,TP_C1
213,559598.32,4895989.286,449.907,TP_C2
214,559598.321,4895989.287,449.907,TP_C2
215,559606.805,4896006.982,451.933,TP_C3
216,559579.146,4896007.156,458.605,TP_C4
217,559584.765,4896008.103,455.333,C02
218,559584.282,4896011.321,455.671,C08
219,559581.53,4896009.102,456.588,C05
220,559580.883,4896008.619,456.28,C01
221,559581.409,4896008.071,456.342,C07
222,559578.541,4895950.425,444.09,PAD9_APRX
300,559581.643,4896006.487,458.107,INST3
301,559576.697,4896008.237,459.099,C10
302,559579.501,4896008.764,457.198,C06
303,559581.675,4896011.191,457.14,C03
304,559579.476,4896013.09,458.207,C09
305,559602.316,4896002.722,450.683,TP_C1
306,559598.32,4895989.282,449.907,TP_C2
400,559555.882,4895986.12,465.262,TP_C2
401,559554.853,4895988.851,465.387,A01
402,559555.507,4895983.354,463.078,TILT3662
500,559555.884,4895986.12,465.259,INST4
501,559553.141,4895987.508,466.456,A02
502,559551.562,4895987.492,466.501,A03
503,559550.887,4895989.398,467.97,TILT4044
504,559550.908,4895989,467.76,T4
505,559549.669,4895986.946,467.031,A04
506,559547.726,4895986.216,466.924,A05
507,559543.934,4895985.023,467.819,A07
508,559543.101,4895984.911,468.039,T2
509,559538.136,4895984.519,469.43,A10
510,559536.342,4895984.228,469.642,A11
512,559550.93,4895989.36,467.921,T4044BOLT_S
513,559535.719,4895981.764,468.271,T3
514,559535.429,4895981.964,468.531,T4043
515,559535.486,4895981.903,468.473,T4043BOLT_S
516,559534.524,4895983.569,469.884,A12
517,559532.779,4895982.326,469.559,A13
