date,time,Fv [kN],Fv std,Fv min,Fv max
2019-06-10,19:40:48,-4.899,0.058,-5.207,-4.653
2019-06-10,19:40:49,-4.855,0.059,-5.139,-4.607
2019-06-10,19:40:50,-4.879,0.099,-6.352,2.428
2019-06-10,19:40:51,-4.872,0.056,-5.094,-4.623
2019-06-10,19:40:52,-4.87,0.056,-5.094,-4.666
2019-06-10,19:40:53,-4.878,0.056,-5.084,-4.618
2019-06-10,19:40:54,-4.884,0.056,-5.085,-4.677
2019-06-10,19:40:55,-4.888,0.057,-5.091,-4.655
2019-06-10,19:40:56,-4.864,0.057,-5.104,-4.631
2019-06-10,19:40:57,-4.847,0.056,-5.077,-4.639
2019-06-10,19:40:58,-4.872,0.055,-5.055,-4.626
2019-06-10,19:40:59,-4.862,0.057,-5.112,-4.652
2019-06-10,19:41:00,-4.842,0.061,-5.089,-4.611
2019-06-10,19:41:01,-4.861,0.056,-5.078,-4.665
2019-06-10,19:41:02,-4.82,0.058,-5.045,-4.586
2019-06-10,19:41:03,-4.85,0.056,-5.073,-4.647
2019-06-10,19:41:04,-4.842,0.056,-5.071,-4.629
2019-06-10,19:41:05,-4.845,0.056,-5.052,-4.621
2019-06-10,19:41:06,-4.849,0.056,-5.063,-4.643
2019-06-10,19:41:07,-4.859,0.055,-5.045,-4.648
2019-06-10,19:41:08,-4.838,0.055,-5.047,-4.62
2019-06-10,19:41:09,-4.853,0.055,-5.059,-4.659
2019-06-10,19:41:10,-4.844,0.057,-5.043,-4.639
2019-06-10,19:41:11,-4.848,0.056,-5.067,-4.635
2019-06-10,19:41:12,-4.862,0.056,-5.088,-4.65
2019-06-10,19:41:13,-4.849,0.057,-5.049,-4.63
2019-06-10,19:41:14,-4.847,0.055,-5.098,-4.636
2019-06-10,19:41:15,-4.831,0.057,-5.047,-4.613
2019-06-10,19:41:16,-4.818,0.061,-5.035,-4.611
2019-06-10,19:41:17,-4.889,0.055,-5.099,-4.675
2019-06-10,19:41:18,-4.878,0.056,-5.123,-4.665
2019-06-10,19:41:19,-4.903,0.055,-5.131,-4.717
2019-06-10,19:41:20,-4.893,0.055,-5.099,-4.674
2019-06-10,19:41:21,-4.89,0.056,-5.094,-4.676
2019-06-10,19:41:22,-4.887,0.059,-5.099,-4.639
2019-06-10,19:41:23,-4.898,0.058,-5.111,-4.682
2019-06-10,19:41:24,-4.886,0.057,-5.089,-4.658
2019-06-10,19:41:25,-4.874,0.056,-5.094,-4.671
2019-06-10,19:41:26,-4.849,0.057,-5.082,-4.642
2019-06-10,19:41:27,-4.891,0.056,-5.108,-4.689
2019-06-10,19:41:28,-4.897,0.054,-5.177,-4.687
2019-06-10,19:41:29,-4.898,0.055,-5.121,-4.694
2019-06-10,19:41:30,-4.879,0.056,-5.095,-4.675
2019-06-10,19:41:31,-4.874,0.055,-5.063,-4.671
2019-06-10,19:41:32,-4.91,0.056,-5.154,-4.683
2019-06-10,19:41:33,-4.924,0.057,-5.16,-4.606
2019-06-10,19:41:34,-4.907,0.055,-5.198,-4.648
2019-06-10,19:41:35,-4.937,0.057,-5.168,-4.715
2019-06-10,19:41:36,-4.912,0.056,-5.135,-4.67
2019-06-10,19:41:37,-4.918,0.056,-5.151,-4.719
2019-06-10,19:41:38,-4.9,0.057,-5.097,-4.683
2019-06-10,19:41:39,-4.935,0.055,-5.194,-4.744
2019-06-10,19:41:40,-4.922,0.058,-5.121,-4.715
2019-06-10,19:41:41,-4.908,0.058,-5.11,-4.71
2019-06-10,19:41:42,-4.919,0.056,-5.15,-4.642
2019-06-10,19:41:43,-4.932,0.06,-5.18,-4.657
2019-06-10,19:41:44,-4.907,0.057,-5.121,-4.679
2019-06-10,19:41:45,-4.901,0.058,-5.11,-4.711
2019-06-10,19:41:46,-4.91,0.055,-5.115,-4.69
2019-06-10,19:41:47,-4.866,0.064,-5.144,-4.623
2019-06-10,19:41:48,-4.854,0.06,-5.063,-4.643
2019-06-10,19:41:49,-4.881,0.058,-5.095,-4.621
2019-06-10,19:41:50,-4.876,0.058,-5.087,-4.648
2019-06-10,19:41:51,-4.878,0.057,-5.126,-4.656
2019-06-10,19:41:52,-4.871,0.057,-5.097,-4.641
2019-06-10,19:41:53,-4.893,0.058,-5.111,-4.661
2019-06-10,19:41:54,-4.891,0.058,-5.128,-4.69
2019-06-10,19:41:55,-4.858,0.057,-5.118,-4.627
2019-06-10,19:41:56,-4.869,0.057,-5.058,-4.649
2019-06-10,19:41:57,-4.879,0.058,-5.196,-4.652
2019-06-10,19:41:58,-4.889,0.057,-5.088,-4.674
2019-06-10,19:41:59,-4.866,0.057,-5.07,-4.649
2019-06-10,19:42:00,-4.843,0.058,-5.158,-4.636
2019-06-10,19:42:01,-4.862,0.057,-5.079,-4.633
2019-06-10,19:42:02,-4.885,0.056,-5.167,-4.674
2019-06-10,19:42:03,-4.86,0.06,-5.089,-4.631
2019-06-10,19:42:04,-4.851,0.057,-5.099,-4.545
2019-06-10,19:42:05,-4.85,0.058,-5.059,-4.611
2019-06-10,19:42:06,-4.874,0.057,-5.097,-4.665
2019-06-10,19:42:07,-4.846,0.056,-5.045,-4.636
2019-06-10,19:42:08,-4.865,0.058,-5.119,-4.652
2019-06-10,19:42:09,-4.88,0.055,-5.075,-4.619
2019-06-10,19:42:10,-4.88,0.057,-5.164,-4.637
2019-06-10,19:42:11,-4.887,0.059,-5.121,-4.657
2019-06-10,19:42:12,-4.904,0.059,-5.129,-4.697
2019-06-10,19:42:13,-4.888,0.057,-5.1,-4.667
2019-06-10,19:42:14,-4.863,0.058,-5.127,-4.653
2019-06-10,19:42:15,-4.885,0.057,-5.114,-4.677
2019-06-10,19:42:16,-4.903,0.057,-5.13,-4.694
2019-06-10,19:42:17,-4.915,0.057,-5.135,-4.678
2019-06-10,19:42:18,-4.923,0.059,-5.146,-4.709
2019-06-10,19:42:19,-4.931,0.056,-5.164,-4.732
2019-06-10,19:42:20,-4.917,0.061,-5.137,-4.696
