date,time,Fv [kN],Fv std,Fv min,Fv max
2019-06-21,21:44:11,7.341,0.056,7.136,7.586
2019-06-21,21:44:12,7.303,0.059,7.066,7.516
2019-06-21,21:44:13,7.3,0.057,7.051,7.51
2019-06-21,21:44:14,7.334,0.056,7.126,7.552
2019-06-21,21:44:15,7.336,0.058,7.119,7.551
2019-06-21,21:44:16,7.34,0.056,7.111,7.559
2019-06-21,21:44:17,7.332,0.055,7.124,7.542
2019-06-21,21:44:18,7.32,0.057,7.073,7.513
2019-06-21,21:44:19,7.305,0.056,7.083,7.511
2019-06-21,21:44:20,7.34,0.056,7.114,7.593
2019-06-21,21:44:21,7.327,0.084,6.468,11.813
2019-06-21,21:44:22,7.323,0.058,7.093,7.539
2019-06-21,21:44:23,7.318,0.057,7.09,7.612
2019-06-21,21:44:24,7.319,0.058,7.078,7.637
2019-06-21,21:44:25,7.347,0.056,7.104,7.576
2019-06-21,21:44:26,7.348,0.058,7.102,7.558
2019-06-21,21:44:27,7.355,0.058,7.156,7.573
2019-06-21,21:44:28,7.333,0.056,7.11,7.585
2019-06-21,21:44:29,7.354,0.059,7.117,7.562
2019-06-21,21:44:30,7.393,0.058,7.186,7.618
2019-06-21,21:44:31,7.395,0.058,7.163,7.605
2019-06-21,21:44:32,7.384,0.058,7.167,7.615
2019-06-21,21:44:33,7.403,0.056,7.183,7.593
2019-06-21,21:44:34,7.397,0.059,7.198,7.645
2019-06-21,21:44:35,7.397,0.06,7.136,7.608
2019-06-21,21:44:36,7.389,0.059,7.171,7.604
2019-06-21,21:44:37,7.408,0.057,7.203,7.654
2019-06-21,21:44:38,7.379,0.057,7.104,7.586
2019-06-21,21:44:39,7.349,0.056,7.116,7.538
2019-06-21,21:44:40,7.352,0.059,7.153,7.571
2019-06-21,21:44:41,7.38,0.056,7.181,7.6
2019-06-21,21:44:42,7.385,0.057,7.186,7.595
2019-06-21,21:44:43,7.373,0.062,7.141,7.611
2019-06-21,21:44:44,7.391,0.062,7.165,7.654
2019-06-21,21:44:45,7.378,0.056,7.162,7.611
2019-06-21,21:44:46,7.381,0.057,7.187,7.582
2019-06-21,21:44:47,7.39,0.058,7.182,7.622
2019-06-21,21:44:48,7.396,0.058,7.148,7.607
2019-06-21,21:44:49,7.363,0.059,7.132,7.551
2019-06-21,21:44:50,7.375,0.058,7.178,7.583
2019-06-21,21:44:51,7.394,0.058,7.181,7.635
2019-06-21,21:44:52,7.399,0.057,7.191,7.612
2019-06-21,21:44:53,7.369,0.059,7.085,7.598
2019-06-21,21:44:54,7.389,0.06,7.142,7.678
2019-06-21,21:44:55,7.355,0.058,6.977,7.63
2019-06-21,21:44:56,7.366,0.057,7.124,7.583
2019-06-21,21:44:57,7.4,0.056,7.154,7.614
2019-06-21,21:44:58,7.401,0.062,7.19,7.667
2019-06-21,21:44:59,7.401,0.057,7.196,7.61
2019-06-21,21:45:00,7.414,0.058,7.17,7.641
2019-06-21,21:45:01,7.423,0.056,7.228,7.656
2019-06-21,21:45:02,7.418,0.058,7.197,7.659
2019-06-21,21:45:03,7.417,0.057,7.187,7.657
2019-06-21,21:45:04,7.406,0.058,7.192,7.632
2019-06-21,21:45:05,7.414,0.058,7.202,7.654
2019-06-21,21:45:06,7.432,0.057,7.236,7.641
2019-06-21,21:45:07,7.408,0.058,7.185,7.609
2019-06-21,21:45:08,7.375,0.058,7.173,7.596
2019-06-21,21:45:09,7.378,0.059,7.119,7.606
2019-06-21,21:45:10,7.372,0.058,7.159,7.61
2019-06-21,21:45:11,7.372,0.058,7.16,7.682
2019-06-21,21:45:12,7.341,0.058,7.145,7.554
2019-06-21,21:45:13,7.345,0.061,7.108,7.596
2019-06-21,21:45:14,7.32,0.061,7.064,7.586
2019-06-21,21:45:15,7.319,0.064,7.026,7.557
2019-06-21,21:45:16,7.348,0.06,7.107,7.602
2019-06-21,21:45:17,7.35,0.059,7.054,7.55
2019-06-21,21:45:18,7.342,0.06,7.117,7.551
2019-06-21,21:45:19,7.344,0.063,7.119,7.627
2019-06-21,21:45:20,7.342,0.062,7.092,7.567
2019-06-21,21:45:21,7.35,0.066,7.096,7.583
2019-06-21,21:45:22,7.389,0.069,7.111,7.647
2019-06-21,21:45:23,7.368,0.071,7.082,7.649
2019-06-21,21:45:24,7.376,0.065,7.086,7.655
2019-06-21,21:45:25,7.382,0.072,7.071,7.791
2019-06-21,21:45:26,7.387,0.07,7.088,7.666
2019-06-21,21:45:27,7.346,0.067,7.085,7.615
2019-06-21,21:45:28,7.357,0.069,7.084,7.586
2019-06-21,21:45:29,7.333,0.073,7.056,7.628
2019-06-21,21:45:30,7.329,0.07,7.052,7.585
2019-06-21,21:45:31,7.344,0.076,7.043,7.599
2019-06-21,21:45:32,7.363,0.073,6.996,7.642
2019-06-21,21:45:33,7.368,0.072,7.073,7.646
2019-06-21,21:45:34,7.37,0.074,7.096,7.65
2019-06-21,21:45:35,7.34,0.076,7.037,7.585
2019-06-21,21:45:36,7.314,0.077,7.052,7.613
2019-06-21,21:45:37,7.294,0.078,7.004,7.566
2019-06-21,21:45:38,7.264,0.084,6.972,7.584
2019-06-21,21:45:39,7.284,0.101,6.885,7.631
2019-06-21,21:45:40,7.264,0.102,6.952,7.673
2019-06-21,21:45:41,7.307,0.105,6.946,7.649
2019-06-21,21:45:42,7.329,0.152,6.868,7.838
2019-06-21,21:45:43,7.286,0.179,6.687,7.952
2019-06-21,21:45:44,20.621,27.738,6.742,109.459
2019-06-21,21:45:45,227.983,61.824,98.231,394.72
2019-06-21,21:45:46,258.677,47.218,217.064,660.299
2019-06-21,21:45:47,262.549,23.832,227.597,404.014
2019-06-21,21:45:48,280.624,19.491,242.995,364.995
2019-06-21,21:45:49,283.235,14.426,254.422,351.744
2019-06-21,21:45:50,326.682,7.75228068713e+14,201.335,7.99999989593e+15
2019-06-21,21:45:51,292.674,20.844,260.093,398.42
2019-06-21,21:45:52,291.007,33.611,235.991,491.108
2019-06-21,21:45:53,311.2,19.037,249.807,372.832
2019-06-21,21:45:54,309.65,26.503,251.915,522.438
2019-06-21,21:45:55,297.248,10.227,279.577,337.959
2019-06-21,21:45:56,304.107,13.37,279.929,350.615
2019-06-21,21:45:57,303.835,38.179,220.052,480.972
2019-06-21,21:45:58,311.417,32.752,286.203,464.312
2019-06-21,21:45:59,319.561,37.427,284.388,442.287
2019-06-21,21:46:00,304.02,13.372,283.615,423.746
2019-06-21,21:46:01,306.111,13.445,282.912,359.786
2019-06-21,21:46:02,320.7,28.541,278.691,462.74
2019-06-21,21:46:03,308.17,13.948,269.309,381.246
2019-06-21,21:46:04,297.184,8.673,274.239,352.618
2019-06-21,21:46:05,310.139,26.809,277.143,438.492
2019-06-21,21:46:06,318.353,19.197,284.575,390.308
2019-06-21,21:46:07,304.879,9.323,285.406,330.83
2019-06-21,21:46:08,306.032,13.656,285.319,359.572
2019-06-21,21:46:09,314.257,10.114,287.148,342.031
2019-06-21,21:46:10,304.502,10.077,281.982,338.211
2019-06-21,21:46:11,311.361,9.618,286.154,349.732
2019-06-21,21:46:12,306.104,9.823,288.822,363.992
2019-06-21,21:46:13,320.519,13.88,300.145,388.616
2019-06-21,21:46:14,313.174,15.871,273.591,352.411
2019-06-21,21:46:15,310.632,10.541,290.463,342.816
2019-06-21,21:46:16,305.297,10.224,290.15,350.474
2019-06-21,21:46:17,309.667,7.302,291.238,331.457
2019-06-21,21:46:18,307.359,11.473,284.667,351.724
2019-06-21,21:46:19,315.851,24.029,289.572,429.985
2019-06-21,21:46:20,305.513,6.65,280.497,335.985
2019-06-21,21:46:21,302.138,9.712,284.001,336.476
2019-06-21,21:46:22,303.802,6.491,285.539,320.674
2019-06-21,21:46:23,306.687,8.724,284.798,336.579
2019-06-21,21:46:24,302.425,10.572,286.326,353.476
2019-06-21,21:46:25,302.121,11.054,283.956,352.036
2019-06-21,21:46:26,303.637,6.508,282.71,323.927
2019-06-21,21:46:27,305.615,7.578,288.284,329.625
2019-06-21,21:46:28,299.137,7.812,281.622,325.859
2019-06-21,21:46:29,303.487,8.811,278.962,330.052
2019-06-21,21:46:30,304.287,6.227,284.875,320.068
2019-06-21,21:46:31,305.491,13.385,278.781,366.468
